UserName	ReviewLength
Mark Schafer	310
MARCO C	80
Mark Bencze	129
Marissa Alexander	467
James Azzarella	77
Jeff McIntire	217
Mike Chance	198
C. Banks	92
Rick Enders	33
Martin Noe	192
Eli Russell	282
Joe deRochemont	233
David Lee	78
