UserName	ReviewLength
Chris Vasta	88
Christopher Diesel	16
Nikki Kononov	94
matthew esparza	180
Akshay Bhatnagar	117
Austin Lappe	6
Hadi Wasfi	69
Pete Best	147
Rodrigo Ramirez	150
Chris Vasta	48
Daniela Okafor	123
Marcus Taylor	139
James Bennett	96
Adam Caine	28
Nathan Smith	111
